date,ic
2016-01-04,0.06734440355505061
2016-01-05,-0.2891106274437754
2016-01-06,-0.30276944232598013
2016-01-07,0.03265524248216515
2016-01-08,-0.052602665251710375
2016-01-11,-0.11135342803036431
2016-01-12,-0.39467636943708234
2016-01-13,0.12194872360027781
2016-01-14,-0.38529962315021976
2016-01-15,0.4467693858558527
2016-01-18,0.040361059948213186
2016-01-19,-0.17099019937628906
2016-01-20,0.15811288138137627
2016-01-21,0.07270517972413054
2016-01-22,-0.0011606154092215545
2016-01-25,0.23522016755804873
2016-01-26,-0.26084167396455554
2016-01-27,0.11894295191724051
2016-01-28,0.12814793223072385
2016-01-29,0.023757357341698395
2016-01-30,-0.013903421838459577
2016-02-01,-0.09505090900428448
2016-02-04,-0.19682503234506504
2016-02-05,0.1901998190986261
2016-02-15,0.17509361464048448
2016-02-16,0.13871801605783632
2016-02-17,-0.02125827614813827
2016-02-18,0.02051140401280556
2016-02-19,0.07829545938592179
2016-02-22,-0.027991712779887427
2016-02-23,-0.06244463177642679
2016-02-24,0.06124454037529426
2016-02-25,0.01117175946385133
2016-02-26,0.11167091120060009
2016-03-01,-0.08785357986741779
2016-03-02,-0.18023933089383345
2016-03-03,0.1093926904625266
2016-03-04,-0.07080334295995638
2016-03-07,-0.006315257023244872
2016-03-08,0.0556838820829069
2016-03-09,0.004110196302415195
2016-03-10,0.09622430637529532
2016-03-11,-0.07706178798585228
2016-03-14,-0.3227391099476751
2016-03-15,0.06895042099432992
2016-03-16,-0.20512734375167957
2016-03-17,0.10978838266621747
2016-03-18,-0.010827623353270728
2016-03-21,-0.14487277044338964
2016-03-22,-0.23956365199759894
2016-03-23,-0.07108766987414797
2016-03-24,-0.07328898409940603
2016-03-25,-0.07499829907167678
2016-03-28,-0.18305483543400677
2016-03-29,0.21114970557472784
2016-03-30,0.06696104683363167
2016-03-31,0.0076031408064561575
2016-04-01,0.03316578102104421
2016-04-06,-0.10090629849819491
2016-04-07,0.0020545450127656966
2016-04-08,-0.022985410998925208
2016-04-11,-0.18234696439872972
2016-04-12,0.2505599208291427
2016-04-13,-0.06891460720807668
2016-04-14,0.013473913793518229
2016-04-15,0.08028653424713085
2016-04-18,-0.06500621147722994
2016-04-19,-0.24535980644375607
2016-04-20,-0.03453411332268414
2016-04-21,-0.1332532374553814
2016-04-22,0.04397370717190597
2016-04-25,0.062492998223972765
2016-04-26,-0.054827924400970694
2016-04-27,-0.31310780595196125
2016-04-28,-0.03445949697796359
2016-04-29,-0.15616799168918966
2016-05-03,-0.06333034606308266
2016-05-04,0.10415673044274497
2016-05-05,-0.04392619937053278
2016-05-06,-0.0619052036017729
2016-05-09,0.21357992339439277
2016-05-10,-0.13227561769831803
2016-05-11,-0.2025876297612429
2016-05-12,0.008198430033616828
2016-05-13,0.14519609113978482
2016-05-16,0.09360413232921273
2016-05-17,0.06875352620084554
2016-05-18,-0.10561769369302013
2016-05-19,0.07156819084445112
2016-05-20,0.26191665883387
2016-05-23,0.12869530945475469
2016-05-24,-0.023661025973407083
2016-05-25,0.04168831541419066
2016-05-26,-0.04302431885314441
2016-05-27,0.014978231433317474
2016-05-30,0.04507141704532925
2016-05-31,0.08465665737403834
2016-06-01,-0.2734223606569736
2016-06-02,-0.038798367777998506
2016-06-03,0.05832163108543003
2016-06-04,-0.10131890882009288
2016-06-06,0.05052476127640038
2016-06-07,-0.11823867187956115
2016-06-08,-0.06340611983804897
2016-06-13,0.22906033490341118
2016-06-14,0.005506582011996045
2016-06-15,-0.05468216383838626
2016-06-16,0.11849488128829544
2016-06-17,0.11006903132746931
2016-06-20,-0.00975392186528822
2016-06-21,0.05177465052896679
2016-06-22,-0.10090468088194018
2016-06-23,-0.40963069677783287
2016-06-24,0.20356652474392906
2016-06-27,0.3180045623938505
2016-06-28,0.10486079633395838
2016-06-29,0.06869100372004186
2016-06-30,-0.10191658545724246
2016-07-01,0.04945090195658975
2016-07-04,-0.09794919440962664
2016-07-05,-0.13184336442988065
2016-07-06,0.014685974671435637
2016-07-07,-0.08224179488919903
2016-07-11,-0.013370399705487559
