window,date,port_return,turnover,port_return_net,cum_return_gross,cum_return_net
2014_2016,2016-01-04,0.0014901006782262805,1.0,-0.0013598993217737196,0.0014901006782261916,-0.0013598993217737165
2014_2016,2016-01-05,-0.016741272356451318,0.19577464788732393,-0.01729923010293019,-0.015276117859517768,-0.0186356042134197
2014_2016,2016-01-06,-0.024858155106484047,0.1485623003194888,-0.02528155766239459,-0.03975453685882502,-0.04344602477331916
2014_2016,2016-01-07,0.01382143660008428,0.2571884984025559,0.013088449379636996,-0.026482565069500863,-0.030926216489674196
2014_2016,2016-01-08,-0.008035037334119543,0.48592870544090055,-0.00941993414462611,-0.03430481400458374,-0.04005482771162516
2014_2016,2016-01-11,-0.009098149763450547,0.37597503900156004,-0.010169678624604994,-0.04309085343261332,-0.04981716161103911
2014_2016,2016-01-12,-0.015698635556926126,0.10015174506828528,-0.015984068030370738,-0.05811302138566388,-0.06500494874113905
2014_2016,2016-01-13,0.004726461741458223,0.15753424657534246,0.004277489138718497,-0.053661228616465606,-0.06100551756462369
2014_2016,2016-01-14,-0.023835033158193467,0.1506849315068493,-0.024264485212987987,-0.07621724461127621,-0.08378973529875411
2014_2016,2016-01-15,0.03915721726271912,0.0746705710102489,0.03894440613533991,-0.04004448255496673,-0.04810847064486157
2014_2016,2016-01-18,0.00708149096402715,0.5051244509516838,0.005641886278814851,-0.033246566232311814,-0.04273800688647278
2014_2016,2016-01-19,-0.014256403849772144,0.46226415094339623,-0.015573856679960824,-0.047028993607257874,-0.05764626797239647
2014_2016,2016-01-20,0.006337570367744282,1.0,0.003487570367744282,-0.04098947279582388,-0.054359743020643614
2014_2016,2016-01-21,0.004731643502371412,1.0,0.0018816435023714115,-0.03645177686607248,-0.05258038517551755
2014_2016,2016-01-22,0.0015447537786241986,0.12667660208643816,0.0011837254626778499,-0.03496333210749969,-0.051458900453609346
2014_2016,2016-01-25,0.005531852760562446,0.3475409836065574,0.004541360957283757,-0.02962489135217472,-0.047151232937750365
2014_2016,2016-01-26,-0.006430924588799089,0.27007299270072993,-0.007200632617996169,-0.035865300498736596,-0.054012346849876214
2014_2016,2016-01-27,0.007904149121004782,0.30656934306569344,0.0070304264932675555,-0.02824463606114347,-0.04736165019086569
2014_2016,2016-01-28,0.02379886466651981,0.3039568345323741,0.022932587688102544,-0.005117961665798032,-0.02551518769881833
2014_2016,2016-01-29,-0.003935180528514094,0.3920863309352518,-0.005052626571679562,-0.009033002091219156,-0.030438895555149448
2014_2016,2016-01-30,-0.0982382752330597,0.9980544747081712,-0.10108273048597799,-0.10638389077866084,-0.12844477936543552
2014_2016,2016-02-01,-0.00104290944467507,1.0136986301369864,-0.003931950540565481,-0.10731585145888156,-0.13187169138634225
2014_2016,2016-02-02,-0.009041533270196718,0.8547945205479452,-0.011477697653758362,-0.11538708488769334,-0.1418358056372785
2014_2016,2016-02-03,0.017048918484323345,0.45468509984639016,0.015753065949761134,-0.10030539140776384,-0.1283170884877589
2014_2016,2016-02-15,0.014615233008841606,0.1827956989247312,0.014094265266906122,-0.0871561450663898,-0.11603135830427636
2014_2016,2016-02-16,0.006310808888639396,0.2689655172413793,0.005544257164501465,-0.08139536195273489,-0.1111304088293602
2014_2016,2016-02-17,0.0014785175463535576,0.29338842975206614,0.0006423605215601691,-0.08003718887722022,-0.11055943409517688
2014_2016,2016-02-18,0.0035370955191834992,0.784688995215311,0.0013007318828198626,-0.07678319254018229,-0.10940251039323123
2014_2016,2016-02-19,0.0077712762240258835,0.6354679802955665,0.005960192480183519,-0.06960861971474874,-0.10409437793280663
